patient_query,standard_term,label,sample_type
哎呀，我这胸口老是往上冒酸水，烧得慌。,反酸,1.0,正样本
感觉胃里那酸水儿老往嗓子眼儿顶，忒难受了。,反酸,1.0,正样本
医生，我最近总反酸水，嘴里一股子酸味儿。,反酸,1.0,正样本
我这肚子疼得厉害，一阵一阵的绞着疼。,反酸,0.0,普通负样本
拉肚子拉了好几天了，人都快虚脱了。,反酸,0.0,普通负样本
我老是打嗝，一股气儿从胃里往上跑。,反酸,0.0,困难负样本
恶心想吐，感觉胃里的东西要翻上来了。,反酸,0.0,困难负样本
哎呀，我这胸口窝里头跟火烧似的，火辣辣的，难受死了。,烧心,1.0,正样本
心口那块儿老觉得烫得慌，像喝了辣椒水一样。,烧心,1.0,正样本
我这胃上头，胸口底下，一阵阵的灼烧感，晚上躺下更厉害。,烧心,1.0,正样本
肚子疼，一阵一阵的绞着疼，想上厕所。,烧心,0.0,普通负样本
最近老是拉肚子，一天跑好几趟厕所，大便稀得很。,烧心,0.0,普通负样本
感觉心里发慌，心跳得厉害，有点心慌慌的。,烧心,0.0,困难负样本
胸口有点闷，感觉堵得慌，喘气不太顺当。,烧心,0.0,困难负样本
哎哟，我肚子疼得不行，一阵一阵的，像有东西在绞一样。,腹痛,1.0,正样本
大夫，我这肚子老疼，说不清具体哪儿，就是整个肚子都不得劲。,腹痛,1.0,正样本
肚子疼得我直不起腰，感觉里面在翻江倒海。,腹痛,1.0,正样本
我最近老是恶心，想吐又吐不出来，胃里特别难受。,腹痛,0.0,普通负样本
大便带血，还黑乎乎的，吓死我了。,腹痛,0.0,普通负样本
我肚子胀得跟个皮球似的，老是咕咕叫，还老放屁。,腹痛,0.0,困难负样本
我肚子这里一按就疼，不按的时候还好点。,腹痛,0.0,困难负样本
哎呀，今天拉肚子拉得不行，一趟一趟往厕所跑，都快虚脱了。,腹泻,1.0,正样本
肚子咕噜咕噜叫，拉稀水，根本憋不住，裤子都弄脏了。,腹泻,1.0,正样本
俺这肠胃不争气，吃啥都拉，拉得跟水似的，浑身没劲儿。,腹泻,1.0,正样本
胃里老反酸水，烧心烧得难受，吃完饭更明显。,腹泻,0.0,普通负样本
肚子胀得跟鼓一样，屁多，还老打嗝，感觉不消化。,腹泻,0.0,普通负样本
有点拉肚子，但主要是肚子疼，一阵一阵绞痛，拉完能好点。,腹泻,0.0,困难负样本
大便次数是多了点，但不成形，有点软，不算太稀。,腹泻,0.0,困难负样本
哎呀，我这胃里头一阵阵往上翻腾，直犯恶心，想吐又吐不出来，难受死了。,恶心,1.0,正样本
感觉胸口堵得慌，老想干呕，看到吃的就反胃，一点胃口都没有。,恶心,1.0,正样本
不晓得咋回事，突然就恶心得不行，胃里跟翻江倒海似的，直往上顶。,恶心,1.0,正样本
我这肚子疼得厉害，一阵一阵地绞痛，还拉稀。,恶心,0.0,普通负样本
最近老是感觉烧心，胸口后面火辣辣的，特别是吃完饭以后。,恶心,0.0,普通负样本
我老是打嗝，胃里的气往上跑，控制不住，打完能舒服点。,恶心,0.0,困难负样本
我吐了，把吃的东西都吐出来了，吐完感觉胃空空的。,恶心,0.0,困难负样本
